               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07773,            0.051613,            0.020124,             0.84932,             0.34371,             0.37298,             0.16404,            0.047591,            0.026823,            0.015804,            0.070087,           0.0033236,           0.0033236
                   1,            0.055385,            0.039713,            0.012704,             0.59901,             0.66111,             0.65209,              0.2924,            0.045506,            0.023042,            0.006917,            0.039868,           0.0064373,           0.0064373
                   2,            0.050188,            0.037543,           0.0083856,             0.81351,             0.71273,             0.78109,             0.40421,            0.035965,            0.022402,           0.0059143,           0.0094281,           0.0093309,           0.0093309
                   3,            0.044363,            0.036234,             0.00681,             0.84615,             0.77783,             0.82887,             0.43997,            0.036203,            0.021084,           0.0043088,             0.00901,             0.00901,             0.00901
                   4,            0.040549,            0.034464,           0.0054099,             0.86409,             0.78579,             0.85741,             0.48399,            0.033815,            0.020609,           0.0038617,             0.00901,             0.00901,             0.00901
                   5,            0.037873,            0.033043,            0.004806,             0.90058,             0.79758,             0.87301,             0.48942,            0.032934,            0.020403,           0.0032354,             0.00868,             0.00868,             0.00868
                   6,            0.036812,            0.032759,           0.0042073,             0.90605,             0.82969,             0.89437,             0.53123,            0.031177,            0.019325,           0.0026182,             0.00835,             0.00835,             0.00835
                   7,            0.035297,            0.032288,           0.0038672,             0.90085,             0.77952,             0.86105,              0.5202,             0.03075,            0.020083,           0.0037793,             0.00802,             0.00802,             0.00802
                   8,            0.033976,            0.031087,           0.0035302,             0.91176,             0.80445,             0.88205,             0.51058,            0.031449,            0.019665,           0.0026344,             0.00769,             0.00769,             0.00769
                   9,            0.033447,            0.030885,           0.0032243,             0.89724,             0.83533,             0.89134,             0.54638,            0.029296,             0.01925,             0.00278,             0.00736,             0.00736,             0.00736
                  10,            0.032247,             0.02979,           0.0030776,             0.91579,             0.85834,              0.9203,             0.57493,            0.028165,             0.01818,           0.0020708,             0.00703,             0.00703,             0.00703
                  11,            0.031462,            0.029748,           0.0028784,             0.93122,             0.83672,             0.90033,             0.55907,            0.027981,            0.018392,           0.0024706,              0.0067,              0.0067,              0.0067
                  12,            0.030498,            0.028772,           0.0026252,             0.91778,             0.84378,             0.90831,             0.56615,            0.028237,            0.018189,            0.001955,             0.00637,             0.00637,             0.00637
                  13,            0.030317,            0.028198,           0.0025222,             0.92726,             0.85558,             0.91927,             0.56592,            0.028353,            0.018102,           0.0017562,             0.00604,             0.00604,             0.00604
                  14,             0.02979,             0.02857,           0.0022264,             0.92288,             0.87623,             0.93072,             0.59604,            0.026707,            0.017424,           0.0015697,             0.00571,             0.00571,             0.00571
                  15,            0.029204,            0.027367,           0.0021586,              0.9113,             0.88297,             0.92964,             0.58824,            0.027449,            0.018248,           0.0016931,             0.00538,             0.00538,             0.00538
                  16,             0.02866,            0.027718,            0.002071,             0.93156,             0.87815,             0.93997,             0.60332,            0.026802,             0.01741,           0.0012769,             0.00505,             0.00505,             0.00505
                  17,            0.028218,            0.027181,            0.002021,             0.91761,             0.88283,             0.93294,             0.60399,            0.026403,            0.017511,           0.0013464,             0.00472,             0.00472,             0.00472
                  18,            0.027567,            0.026723,           0.0018496,             0.93702,             0.88779,             0.94133,             0.62122,            0.025746,            0.016827,          0.00097676,             0.00439,             0.00439,             0.00439
                  19,            0.026853,            0.025828,           0.0017343,             0.91913,             0.90449,              0.9446,              0.6133,            0.026329,            0.016975,           0.0012474,             0.00406,             0.00406,             0.00406
                  20,            0.026904,            0.026601,           0.0017348,             0.95071,             0.89027,             0.94697,             0.61448,            0.026379,            0.016898,           0.0010569,             0.00373,             0.00373,             0.00373
                  21,            0.026503,            0.025969,           0.0016556,             0.94221,             0.87753,              0.9424,             0.60483,            0.026725,            0.017267,           0.0011067,              0.0034,              0.0034,              0.0034
                  22,            0.025864,            0.025036,           0.0015764,             0.95205,             0.89011,             0.94944,             0.61654,            0.026035,            0.016606,           0.0010509,             0.00307,             0.00307,             0.00307
                  23,            0.025724,            0.025018,           0.0015627,             0.95008,             0.89906,             0.95242,             0.63105,            0.025162,            0.016585,          0.00081004,             0.00274,             0.00274,             0.00274
                  24,            0.024968,            0.024489,           0.0013307,              0.9531,              0.9039,             0.95307,             0.64106,            0.024854,            0.016209,          0.00077889,             0.00241,             0.00241,             0.00241
                  25,            0.024871,            0.024448,           0.0013772,             0.95041,             0.90203,             0.95033,             0.63377,            0.025126,              0.0165,           0.0008218,             0.00208,             0.00208,             0.00208
                  26,            0.024297,            0.023549,           0.0012412,             0.95946,             0.90689,             0.95696,             0.63395,            0.025588,            0.016419,          0.00077147,             0.00175,             0.00175,             0.00175
                  27,            0.024189,            0.023281,            0.001277,             0.96567,             0.90795,             0.96247,             0.64851,            0.024883,            0.016186,          0.00068851,             0.00142,             0.00142,             0.00142
                  28,            0.023839,            0.023534,           0.0012926,             0.95507,             0.91445,             0.96252,             0.64653,            0.024828,            0.016095,          0.00071402,             0.00109,             0.00109,             0.00109
                  29,            0.023688,            0.023166,           0.0011936,             0.95879,             0.91038,             0.95746,             0.65403,            0.024468,            0.016197,          0.00074079,             0.00076,             0.00076,             0.00076
